CustomerID,Age,AnnualIncome,WebsiteVisits,AppSessions,PreviousOrders,AverageOrderValue,DaysSinceLastPurchase,ReturnRate,CancellationRate,LoyaltyTier,DiscountUsedLastCampaign,Year1Spending,FutureSpending,TotalEngagement,SpendingGrowth,SpendingGrowthRate,OrderIntensity,NetEngagementScore,Segment
LTV00035,22,45472.59,36,145,5,1228.14,224,0.063,0.085,Gold,Yes,6203.76,4370.24,181,-1833.5200000000004,-0.29550216285561415,0.022222222222222223,171.2,Medium-Value Customer
LTV00036,20,96254.57,105,183,1,1637.65,236,0.307,0.125,Silver,No,2271.01,3279.74,288,1008.7299999999996,0.4439813205047511,0.004219409282700422,245.8,Medium-Value Customer
LTV00037,46,75733.48,72,32,2,1372.01,157,0.126,0.044,Silver,No,3045.13,4336.24,104,1291.1099999999997,0.42385256046196307,0.012658227848101266,89.0,Medium-Value Customer
LTV00038,31,46266.32,56,9,6,1719.57,48,0.216,0.03,Bronze,Yes,9696.19,6061.1,65,-3635.09,-0.3748601398961967,0.12244897959183673,46.4,Medium-Value Customer
LTV00039,46,71985.23,28,222,6,2024.36,221,0.465,0.029,Bronze,Yes,9932.92,5751.04,250,-4181.88,-0.4209697682284536,0.02702702702702703,206.6,Medium-Value Customer
LTV00040,34,94472.1,2,203,0,1614.41,132,0.05,0.027,Bronze,Yes,63.4,2476.15,205,2412.75,37.46506211180124,0.0,197.3,Low-Engagement Customer
LTV00041,55,55746.81,151,182,0,1655.22,78,0.086,0.208,Bronze,Yes,630.79,3056.19,333,2425.4,3.838933822947499,0.0,303.59999999999997,High-Potential Customer
LTV00042,33,68204.13,18,174,34,1775.59,317,0.147,0.022,Silver,No,56858.5,29477.72,192,-27380.78,-0.48155154371740866,0.1069182389937107,209.10000000000002,High-Value Customer
LTV00043,32,138280.99,68,53,9,617.36,291,0.239,0.082,Silver,Yes,5211.11,3773.81,121,-1437.2999999999997,-0.27576163971980633,0.030821917808219176,97.89999999999999,Medium-Value Customer
LTV00044,42,18000.0,110,231,0,2006.95,11,0.154,0.033,Bronze,Yes,635.07,2401.71,341,1766.6399999999999,2.777430157058185,0.0,322.3,Low-Value Customer
LTV00045,46,86931.86,137,90,11,1650.48,265,0.308,0.198,Platinum,No,16073.36,8775.64,227,-7297.720000000001,-0.4539975464030917,0.041353383458646614,187.39999999999998,High-Value Customer
LTV00046,26,101329.6,8,244,3,955.51,192,0.071,0.144,Silver,No,2847.08,6383.77,252,3536.6900000000005,1.2417804275160813,0.015544041450777202,233.5,Medium-Value Customer
LTV00047,39,70287.33,163,51,10,2130.0,171,0.233,0.053,Bronze,No,20169.82,10312.03,214,-9857.789999999999,-0.48871538192299563,0.05813953488372093,195.39999999999998,High-Value Customer
LTV00048,61,92841.22,37,149,3,1669.6,215,0.278,0.044,Silver,No,5201.13,5846.0,186,644.8699999999999,0.12396268451576563,0.013888888888888888,156.79999999999998,Medium-Value Customer
LTV00049,43,89784.69,124,152,20,1486.95,287,0.211,0.121,Bronze,Yes,27732.8,16426.75,276,-11306.05,-0.4076632123978683,0.06944444444444445,262.79999999999995,High-Value Customer
LTV00050,38,46253.49,2,230,8,1349.13,346,0.157,0.029,Gold,No,10218.59,5176.75,232,-5041.84,-0.4933505160187444,0.023054755043227664,221.4,At-Risk Valuable Customer
LTV00051,21,70962.59,8,245,1,1204.57,26,0.236,0.049,Silver,Yes,1170.99,6247.06,253,5076.070000000001,4.331154702685177,0.037037037037037035,225.5,Medium-Value Customer
LTV00052,24,89816.04,49,66,5,1366.67,278,0.33,0.125,Bronze,No,6453.51,4726.97,115,-1726.54,-0.26749358200699974,0.017921146953405017,74.5,Medium-Value Customer
LTV00053,48,63925.78,29,107,9,1784.08,5,0.095,0.225,Platinum,Yes,16338.45,10551.23,136,-5787.220000000001,-0.3541869524371996,1.5,113.0,High-Value Customer
LTV00054,62,85297.12,150,209,6,1856.6,322,0.154,0.135,Bronze,No,10511.85,7103.22,359,-3408.63,-0.32423462714677753,0.018575851393188854,336.1,High-Potential Customer
LTV00055,22,24554.27,100,131,1,810.99,240,0.122,0.156,Gold,No,1539.72,1740.98,231,201.26,0.13062723921283556,0.004149377593360996,204.20000000000002,Low-Value Customer
LTV00056,60,70230.64,114,151,2,1971.11,161,0.185,0.123,Platinum,No,4251.24,3049.71,265,-1201.5299999999997,-0.28256401332003833,0.012345679012345678,236.2,Low-Value Customer
LTV00057,28,94984.45,151,181,32,1538.75,205,0.211,0.101,Bronze,Yes,45639.26,23051.35,332,-22587.910000000003,-0.49491194835436964,0.1553398058252427,332.79999999999995,High-Value Customer
LTV00058,60,71735.43,160,219,30,968.38,46,0.109,0.1,Silver,Yes,28356.29,15533.75,379,-12822.54,-0.45217790557560333,0.6382978723404256,388.1,High-Value Customer
LTV00059,30,21638.75,72,40,7,622.56,38,0.143,0.062,Gold,No,4885.88,3923.91,112,-961.9700000000003,-0.19684747732704716,0.1794871794871795,98.5,Medium-Value Customer
LTV00060,59,102690.22,18,124,0,921.02,326,0.113,0.006,Bronze,Yes,388.86,2917.9,142,2529.04,6.487046632124352,0.0,130.1,Low-Engagement Customer
LTV00061,30,90005.37,86,172,4,2358.99,196,0.256,0.049,Silver,Yes,8911.96,7889.5,258,-1022.4599999999991,-0.11471609880443749,0.02030456852791878,231.5,Medium-Value Customer
LTV00062,51,117948.43,172,116,5,1547.26,113,0.09,0.106,Bronze,No,8321.35,6307.69,288,-2013.6600000000008,-0.24195810077682395,0.043859649122807015,273.4,High-Potential Customer
LTV00063,57,67200.84,53,79,2,2058.39,113,0.009,0.103,Silver,Yes,4654.1,4732.1,132,78.0,0.016755816201585356,0.017543859649122806,122.8,Medium-Value Customer
LTV00064,64,103864.25,137,259,4,1064.76,60,0.097,0.207,Bronze,No,4961.74,3390.74,396,-1571.0,-0.3165589976504915,0.06557377049180328,369.6,Medium-Value Customer
LTV00065,62,53092.57,99,220,0,1212.36,243,0.029,0.04,Bronze,No,859.15,0.0,319,-859.15,-0.9988374120792884,0.0,312.1,Low-Value Customer
LTV00066,55,109243.58,28,88,3,1839.02,125,0.152,0.004,Bronze,No,5968.06,5278.67,116,-689.3900000000003,-0.11549389686148243,0.023809523809523808,103.39999999999999,Medium-Value Customer
LTV00067,62,38542.5,42,89,1,313.41,57,0.2,0.111,Silver,Yes,971.31,1189.35,131,218.03999999999996,0.22424946776233914,0.017241379310344827,100.9,Low-Engagement Customer
LTV00068,32,124823.12,166,177,6,1820.13,148,0.006,0.133,Bronze,No,11182.93,9344.74,343,-1838.1900000000005,-0.1643599342985874,0.040268456375838924,335.09999999999997,High-Value Customer
LTV00069,58,68376.78,70,248,6,1779.57,73,0.092,0.304,Bronze,No,11140.0,5808.29,318,-5331.71,-0.47856655596445563,0.08108108108108109,284.40000000000003,Medium-Value Customer
LTV00070,35,69405.88,78,150,2,3056.45,86,0.43,0.02,Silver,No,5172.66,6005.68,228,833.0200000000004,0.16101174023805206,0.022988505747126436,185.0,Medium-Value Customer
LTV00071,58,76544.8,81,139,0,991.7,221,0.014,0.41,Gold,No,45.81,564.04,220,518.23,11.070925016022217,0.0,177.6,Low-Value Customer
LTV00072,54,110890.45,171,72,2,1161.74,200,0.049,0.004,Gold,Yes,2875.08,1894.93,243,-980.1499999999999,-0.34079371922895046,0.009950248756218905,239.7,High-Potential Customer
LTV00073,48,46610.81,121,220,4,1758.12,310,0.258,0.154,Silver,Yes,6976.48,4975.29,341,-2001.1899999999996,-0.28680698475667427,0.012861736334405145,303.8,Medium-Value Customer
LTV00074,36,97461.72,19,94,0,2194.44,279,0.2,0.032,Bronze,No,596.1,2852.15,113,2256.05,3.77834533578965,0.0,89.8,Low-Engagement Customer
LTV00075,20,49470.01,161,131,19,1286.34,350,0.14,0.071,Silver,No,23372.64,14179.43,292,-9193.21,-0.39331529021581574,0.05413105413105413,289.9,High-Value Customer
LTV00076,26,60591.14,0,41,10,1218.47,281,0.039,0.003,Platinum,No,12822.27,9558.95,41,-3263.3199999999997,-0.25448423062136255,0.03546099290780142,46.800000000000004,High-Value Customer
LTV00077,26,101543.72,39,182,0,1445.31,173,0.076,0.21,Bronze,No,412.45,2034.05,221,1621.6,3.922118756802515,0.0,192.4,Low-Engagement Customer
LTV00078,44,57867.98,167,56,6,1352.04,180,0.095,0.129,Gold,No,8118.9,6384.53,223,-1734.37,-0.21359499501225385,0.03314917127071823,206.6,High-Potential Customer
LTV00079,41,52973.97,151,232,4,1979.99,127,0.062,0.011,Silver,No,7758.0,6705.01,383,-1052.9899999999998,-0.13571207629849205,0.03125,379.7,High-Potential Customer
LTV00080,59,69481.62,110,189,7,1596.43,25,0.498,0.123,Gold,No,9219.77,4249.16,299,-4970.610000000001,-0.5390666939962715,0.2692307692307692,243.89999999999998,Medium-Value Customer
LTV00081,19,85043.2,122,198,0,1697.27,22,0.084,0.09,Bronze,Yes,660.73,3318.24,320,2657.5099999999998,4.0160035059616455,0.0,302.6,Medium-Value Customer
LTV00082,23,52835.7,22,51,1,2210.35,53,0.134,0.164,Bronze,No,2568.68,2134.72,73,-433.96000000000004,-0.16887705862208527,0.018518518518518517,44.2,Low-Engagement Customer
LTV00083,51,48331.37,169,61,2,1470.25,117,0.109,0.155,Bronze,No,3164.96,1098.99,230,-2065.9700000000003,-0.6525572022388155,0.01694915254237288,205.6,High-Potential Customer
LTV00084,61,74260.84,156,207,0,610.4,202,0.071,0.047,Gold,Yes,127.63,5228.67,363,5101.04,39.65668973023401,0.0,351.2,High-Potential Customer
LTV00085,41,51247.12,144,1,1,945.38,59,0.068,0.13,Bronze,No,1287.18,3319.87,145,2032.6899999999998,1.5779549441848186,0.016666666666666666,126.19999999999999,High-Potential Customer
LTV00086,22,80848.76,54,186,7,1860.53,87,0.074,0.343,Bronze,No,12778.69,6844.47,240,-5934.22,-0.46434772674454544,0.07954545454545454,205.29999999999998,Medium-Value Customer
LTV00087,37,87635.1,103,250,0,1375.62,53,0.164,0.121,Bronze,Yes,682.95,3852.66,353,3169.71,4.634417720593611,0.0,324.5,Medium-Value Customer
LTV00088,43,87754.6,112,123,12,2127.84,26,0.119,0.145,Bronze,No,24549.45,11984.71,235,-12564.740000000002,-0.5117926555317723,0.4444444444444444,220.6,High-Value Customer
LTV00089,61,48131.2,83,238,6,877.59,175,0.251,0.093,Bronze,No,5279.08,5003.55,321,-275.52999999999975,-0.05218292147088676,0.03409090909090909,292.59999999999997,Medium-Value Customer
LTV00090,22,94368.04,170,121,2,948.31,282,0.239,0.149,Bronze,No,2004.65,2580.62,291,575.9699999999998,0.2871737342008824,0.007067137809187279,254.20000000000002,High-Potential Customer
LTV00091,35,90830.25,25,27,3,1246.73,216,0.131,0.014,Gold,Yes,4443.82,8976.37,52,4532.550000000001,1.0197375821743067,0.013824884792626729,40.5,Medium-Value Customer
LTV00092,41,31795.18,78,73,1,2154.92,182,0.01,0.021,Gold,No,2364.66,4916.72,151,2552.0600000000004,1.0787940786080843,0.00546448087431694,148.9,Medium-Value Customer
LTV00093,52,26860.64,148,170,0,1409.21,332,0.006,0.006,Bronze,Yes,644.28,3487.89,318,2843.6099999999997,4.4067846516241005,0.0,316.79999999999995,High-Potential Customer
LTV00094,52,108858.61,43,123,5,2374.19,125,0.083,0.095,Bronze,No,12033.97,7181.2,166,-4852.7699999999995,-0.40322244259852746,0.03968253968253968,153.2,Medium-Value Customer
LTV00095,31,62616.88,96,195,3,1518.75,272,0.217,0.13,Gold,No,4915.97,2298.52,291,-2617.4500000000003,-0.5323298698182011,0.01098901098901099,259.3,Low-Value Customer
LTV00096,19,40343.97,18,241,1,1002.9,312,0.069,0.015,Bronze,No,1133.11,2128.1,259,994.99,0.8773311230832989,0.003194888178913738,251.6,Low-Engagement Customer
LTV00097,53,82683.93,179,31,6,1956.95,356,0.013,0.214,Silver,No,12092.56,8263.89,210,-3828.67,-0.3165875060776149,0.01680672268907563,193.29999999999998,High-Value Customer
LTV00098,32,96969.64,81,125,18,1755.6,312,0.105,0.134,Platinum,No,30332.67,17412.46,206,-12920.21,-0.42593626158654724,0.05750798722044728,200.1,High-Value Customer
LTV00099,53,85248.84,155,31,2,385.64,161,0.193,0.16,Gold,No,865.43,2397.53,186,1532.1000000000004,1.7682905716561066,0.012345679012345678,152.7,High-Potential Customer
LTV00100,65,55636.41,67,248,2,1482.89,362,0.159,0.047,Gold,No,3393.3,3672.42,315,279.1199999999999,0.08223197713814333,0.005509641873278237,296.40000000000003,Medium-Value Customer
LTV00101,46,55372.52,54,140,1,2422.66,254,0.491,0.02,Gold,No,2565.28,3730.33,194,1165.0499999999997,0.45398397680689545,0.00392156862745098,143.9,Medium-Value Customer
LTV00102,33,75015.49,44,135,1,998.76,363,0.051,0.036,Gold,No,1305.33,4919.46,179,3614.13,2.7666286466666157,0.0027472527472527475,171.3,Medium-Value Customer
LTV00103,42,88868.8,143,85,12,354.48,169,0.078,0.085,Platinum,No,4299.48,4881.53,228,582.0500000000002,0.1353453567973808,0.07058823529411765,223.7,High-Potential Customer
LTV00104,57,52670.44,76,39,5,1323.96,253,0.013,0.367,Silver,No,7161.25,5549.35,115,-1611.8999999999996,-0.2250549757408635,0.01968503937007874,82.0,Medium-Value Customer
LTV00105,21,94599.43,63,232,1,1344.83,233,0.089,0.295,Bronze,No,1482.26,3476.99,295,1994.7299999999998,1.3448282836454835,0.004273504273504274,257.6,Medium-Value Customer
LTV00106,45,82780.43,78,217,1,120.0,41,0.253,0.005,Bronze,No,314.11,3127.11,295,2813.0,8.92704135063946,0.023809523809523808,270.2,Low-Value Customer
LTV00107,45,68756.31,180,233,2,1088.41,321,0.109,0.169,Bronze,No,2555.38,3434.97,413,879.5899999999997,0.34407638926920087,0.006211180124223602,387.20000000000005,High-Potential Customer
LTV00108,29,102210.03,95,17,1,1731.24,231,0.395,0.005,Bronze,No,1534.97,4027.12,112,2492.1499999999996,1.6225251795282458,0.004310344827586207,73.0,Medium-Value Customer
LTV00109,49,97933.12,132,36,5,991.23,11,0.407,0.033,Gold,Yes,4879.89,5306.95,168,427.0599999999995,0.0874963377580727,0.4166666666666667,129.0,Medium-Value Customer
LTV00110,41,105280.52,119,143,7,1578.37,45,0.057,0.291,Bronze,Yes,11199.99,7095.18,262,-4104.8099999999995,-0.3664684996594051,0.15217391304347827,234.20000000000002,Medium-Value Customer
LTV00111,38,110446.44,19,141,15,1462.7,69,0.109,0.058,Bronze,Yes,21270.12,12928.5,160,-8341.619999999999,-0.39215706554238794,0.21428571428571427,158.29999999999998,High-Value Customer
LTV00112,59,26456.46,45,235,19,1570.99,30,0.062,0.111,Silver,Yes,29406.71,13872.37,280,-15534.339999999998,-0.5282403832192306,0.6129032258064516,281.7,High-Value Customer
LTV00113,48,100138.38,177,134,6,1270.79,55,0.167,0.045,Gold,No,7890.9,7436.12,311,-454.77999999999975,-0.05762617367173935,0.10714285714285714,295.8,High-Potential Customer
LTV00114,31,120900.88,140,177,1,1292.34,77,0.024,0.03,Bronze,No,1983.32,3984.89,317,2001.57,1.0086931543299469,0.01282051282051282,312.6,High-Potential Customer
LTV00115,36,62482.52,25,140,3,1706.0,93,0.17,0.03,Bronze,Yes,5310.71,4225.51,165,-1085.1999999999998,-0.20430332228227818,0.031914893617021274,148.0,Medium-Value Customer
LTV00116,62,73376.23,91,227,4,2172.56,203,0.106,0.06,Silver,Yes,8915.7,7484.52,318,-1431.1800000000003,-0.16050556820348338,0.0196078431372549,305.4,Medium-Value Customer
LTV00117,61,100241.43,117,125,0,1637.63,334,0.08,0.049,Silver,Yes,447.91,3334.65,242,2886.7400000000002,6.430554008598605,0.0,229.1,Medium-Value Customer
LTV00118,38,34541.62,166,184,0,120.0,242,0.005,0.055,Silver,Yes,411.85,5831.86,350,5420.009999999999,13.128279035969477,0.0,344.0,High-Potential Customer
LTV00119,27,39715.61,50,186,3,1809.27,49,0.226,0.076,Bronze,Yes,5395.41,2302.6,236,-3092.81,-0.5731236136616751,0.06,208.8,Low-Value Customer
LTV00120,24,90116.95,142,247,3,657.11,241,0.116,0.055,Gold,No,2060.99,4104.45,389,2043.46,0.9910135354681644,0.012396694214876033,374.9,High-Potential Customer
LTV00121,23,91889.35,163,46,10,2165.73,276,0.174,0.16,Bronze,Yes,20263.36,10894.83,209,-9368.53,-0.46231561223744544,0.036101083032490974,185.6,High-Value Customer
LTV00122,23,137451.54,105,150,14,1382.23,26,0.057,0.015,Silver,Yes,19212.61,12828.35,255,-6384.26,-0.3322780050183177,0.5185185185185185,261.8,High-Value Customer
LTV00123,38,43476.61,180,118,1,1088.16,155,0.066,0.152,Bronze,Yes,1243.7,3830.89,298,2587.1899999999996,2.0785651160922307,0.00641025641025641,277.2,High-Potential Customer
LTV00124,65,44579.64,14,145,1,1678.7,49,0.239,0.095,Gold,No,2221.33,2057.3,159,-164.02999999999975,-0.07380992021886927,0.02,126.6,Low-Engagement Customer
LTV00125,38,69668.82,180,47,7,2086.42,339,0.064,0.018,Gold,No,14569.2,10066.2,227,-4503.0,-0.30905546938271267,0.020588235294117647,225.79999999999998,High-Value Customer
LTV00126,57,74116.31,137,160,5,1366.82,168,0.072,0.189,Bronze,No,6684.14,4617.56,297,-2066.58,-0.3091303996625351,0.029585798816568046,275.90000000000003,Medium-Value Customer
LTV00127,54,81772.42,66,85,6,1899.78,330,0.164,0.027,Bronze,Yes,11295.65,9317.23,151,-1978.42,-0.1751333359889879,0.01812688821752266,137.9,High-Value Customer
LTV00128,57,54937.7,111,23,1,1616.51,24,0.153,0.063,Silver,Yes,2026.78,852.99,134,-1173.79,-0.5788547081044295,0.04,113.4,Low-Value Customer
LTV00129,40,41825.62,172,17,9,1767.43,239,0.112,0.068,Bronze,No,15415.59,6885.87,189,-8529.720000000001,-0.5532818865910036,0.0375,180.0,High-Potential Customer
LTV00130,35,81824.87,70,95,7,710.95,71,0.276,0.096,Gold,Yes,5107.01,6138.15,165,1031.1399999999994,0.20186726337653987,0.09722222222222222,134.8,Medium-Value Customer
LTV00131,30,67915.37,150,88,0,634.89,177,0.077,0.241,Platinum,Yes,565.2,4236.27,238,3671.0700000000006,6.483698339809255,0.0,206.20000000000002,High-Potential Customer
LTV00132,40,44086.65,146,96,5,1428.33,106,0.045,0.342,Bronze,No,7702.07,4912.56,242,-2789.5099999999993,-0.3621296444144996,0.04672897196261682,208.3,High-Potential Customer
LTV00133,18,76725.9,128,161,11,2118.23,20,0.113,0.199,Bronze,No,22392.84,12015.14,289,-10377.7,-0.46341761841649315,0.5238095238095238,268.8,High-Value Customer
LTV00134,25,109627.1,4,182,9,1753.29,94,0.489,0.094,Silver,No,13493.35,7419.27,186,-6074.08,-0.450120235505971,0.09473684210526316,136.7,Medium-Value Customer
LTV00135,64,43772.38,130,107,11,2003.51,232,0.132,0.181,Silver,No,21500.96,10853.96,237,-10647.0,-0.4951641617787402,0.04721030042918455,216.70000000000002,High-Value Customer
LTV00136,28,55222.05,122,3,41,670.67,267,0.088,0.043,Silver,No,26917.15,13463.59,125,-13453.560000000001,-0.4997951196497531,0.15298507462686567,152.89999999999998,High-Value Customer
LTV00137,34,106255.04,90,176,13,1412.1,104,0.029,0.078,Silver,No,18930.57,12755.7,266,-6174.869999999999,-0.3261678772547654,0.12380952380952381,268.3,High-Value Customer
LTV00138,41,39983.0,160,125,6,1499.9,323,0.353,0.094,Bronze,No,8366.04,4453.9,285,-3912.1400000000012,-0.4675655906987418,0.018518518518518517,246.29999999999998,High-Potential Customer
LTV00139,59,95470.86,151,137,0,2261.53,288,0.042,0.012,Gold,Yes,576.67,5226.56,288,4649.89,8.049388058926377,0.0,282.6,High-Potential Customer
LTV00140,38,102014.3,55,236,1,1643.37,252,0.047,0.049,Bronze,No,2351.68,4321.55,291,1969.8700000000003,0.8372876889334718,0.003952569169960474,282.40000000000003,Medium-Value Customer
LTV00141,41,71166.06,4,202,5,1405.77,185,0.138,0.208,Gold,No,9108.56,5749.88,206,-3358.6799999999994,-0.3686983784068604,0.026881720430107527,176.39999999999998,Medium-Value Customer
LTV00142,65,53159.77,9,85,0,888.15,216,0.079,0.224,Silver,Yes,402.89,1247.75,94,844.86,2.091807175220976,0.0,63.69999999999999,Low-Engagement Customer
LTV00143,36,42542.1,138,137,7,728.4,151,0.112,0.056,Bronze,Yes,5164.36,6248.44,275,1084.08,0.2098750135518144,0.046052631578947366,265.2,High-Potential Customer
LTV00144,40,119122.06,159,109,8,484.95,132,0.016,0.102,Bronze,No,4214.66,3547.01,268,-667.6499999999996,-0.15837377777145206,0.06015037593984962,264.2,High-Potential Customer
LTV00145,29,18000.0,127,234,2,1426.98,207,0.199,0.09,Silver,Yes,3397.07,3083.58,361,-313.49000000000024,-0.09225530963164391,0.009615384615384616,334.1,Low-Value Customer
LTV00146,46,48123.35,140,186,0,1490.38,154,0.065,0.037,Silver,Yes,709.56,4471.31,326,3761.7500000000005,5.294063836973655,0.0,315.8,High-Potential Customer
LTV00147,23,29147.67,176,198,8,1181.96,302,0.144,0.071,Bronze,Yes,9027.7,7755.95,374,-1271.750000000001,-0.1408563802097756,0.026402640264026403,360.5,High-Potential Customer
